City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,takhatgarh,25.3333,73.0,28.41,46,7,2.42,IN,1683335986
294,taksimo,56.3444,114.8794,6.62,45,81,0.6,RU,1683335769
295,kondoa,-4.9,35.7833,15.15,95,51,2.05,TZ,1683335986
296,fernley,39.608,-119.2518,12.48,36,99,2.68,US,1683335759
297,northam,51.0333,-4.2167,11.88,94,100,4.42,GB,1683335987
298,goure,13.9835,10.2704,27.37,9,0,2.33,NE,1683335987
299,martapura,-3.4167,114.85,30.05,79,20,2.57,ID,1683335987
300,tolanaro,-25.0319,46.9987,20.52,94,39,3.27,MG,1683335749
301,haiku-pauwela,20.9219,-156.3051,25.01,76,40,11.83,US,1683335751
302,coahuayana de hidalgo,18.7,-103.6583,28.73,62,0,1.82,MX,1683335803
303,puerto baquerizo moreno,-0.9,-89.6,26.65,84,24,4.66,EC,1683335736
304,belomorsk,64.5232,34.7668,-7.48,96,85,2.0,RU,1683335988
305,mtambile,-5.3833,39.7,25.69,82,7,4.74,TZ,1683335989
306,acarau,-2.8856,-40.12,25.22,83,9,4.77,BR,1683335793
307,lerwick,60.1545,-1.1494,8.0,88,100,12.73,GB,1683335752
308,ternate,0.8,127.4,28.62,75,89,0.87,ID,1683335989
309,pasaje,-3.3333,-79.8167,25.79,91,98,0.89,EC,1683335990
310,bobrovytsya,50.75,31.3833,5.28,84,100,4.93,UA,1683335990
311,impfondo,1.6381,18.0667,22.06,94,88,1.33,CG,1683335990
312,contramaestre,20.2978,-76.2414,24.54,85,53,1.52,CU,1683335990
313,kupang,-10.1667,123.5833,31.32,70,20,4.63,ID,1683335991
314,ubari,26.5921,12.7805,19.96,24,54,2.73,LY,1683335991
315,tucumcari,35.1717,-103.725,26.91,7,0,11.83,US,1683335991
316,howrah,22.5892,88.3103,29.0,74,75,2.06,IN,1683335773
317,buala,-8.145,159.5921,29.88,67,100,1.17,SB,1683335742
318,zadar,44.1197,15.2422,10.34,100,0,0.51,HR,1683335992
319,shimoda,34.6667,138.95,25.06,73,60,9.48,JP,1683335992
320,portland,45.5234,-122.6762,14.85,77,100,2.68,US,1683335508
321,yuzhno-kurilsk,44.0306,145.8556,2.84,97,100,4.17,RU,1683335804
322,remire-montjoly,4.9167,-52.2667,27.02,83,75,2.06,GF,1683335727
323,boali,4.8005,18.1275,23.18,76,81,0.69,CF,1683335993
324,zhangye,38.9342,100.4517,12.56,23,9,9.0,CN,1683335994
325,ixtapa,20.7,-105.2,27.57,78,75,5.14,MX,1683335994
326,tell city,37.9514,-86.7678,21.17,62,75,3.09,US,1683335994
327,nova sintra,14.8667,-24.7167,20.77,79,3,12.15,CV,1683335761
328,moraleja,40.0162,-6.6977,15.36,73,23,0.87,ES,1683335995
329,ancud,-41.8697,-73.8203,10.74,94,13,1.27,CL,1683335736
330,katsuren-haebaru,26.3369,127.8719,27.21,78,75,6.69,JP,1683335757
331,tobelo,1.7284,128.0095,29.62,70,99,0.94,ID,1683335996
332,puerto maldonado,-12.6,-69.1833,22.99,99,84,0.52,PE,1683335755
333,borogontsy,62.6683,131.1683,3.62,86,49,2.68,RU,1683335996
334,dudhi,24.2167,83.25,27.73,34,0,1.45,IN,1683335996
335,kone,-21.0595,164.8658,26.33,72,85,3.95,NC,1683335709
336,xinyuan,37.3,99.0,-0.15,91,100,2.44,CN,1683335997
337,bonthe,7.5264,-12.505,23.0,91,100,3.73,SL,1683335808
338,plymouth,41.8334,-70.8328,11.9,75,0,1.54,US,1683335711
339,valparaiso,-33.0393,-71.6273,8.8,93,0,2.06,CL,1683335575
340,stettler,52.3168,-112.7186,18.86,22,0,8.23,CA,1683335998
341,rongelap,11.1635,166.8941,27.45,77,13,7.41,MH,1683335734
342,sucua,-2.4667,-78.1667,20.38,97,99,1.08,EC,1683335998
343,sandpoint,48.2766,-116.5533,12.47,96,100,3.13,US,1683335999
344,rawson,-43.3002,-65.1023,17.44,42,23,10.76,AR,1683335999
345,tura,25.5198,90.2201,24.09,80,0,2.26,IN,1683335805
346,arraial do cabo,-22.9661,-42.0278,23.69,81,0,3.74,BR,1683335730
347,curcani,44.2,26.5833,14.71,76,44,3.72,RO,1683336000
348,kandahar,31.0,65.75,17.16,39,0,3.17,AF,1683336000
349,kumylzhenskaya,49.8809,42.5898,9.99,95,89,5.14,RU,1683336001
350,boyolangu,-8.1181,111.8935,26.58,88,100,2.84,ID,1683336001
351,chikwawa,-16.0335,34.8009,16.51,81,0,0.67,MW,1683336002
352,camalu,30.85,-116.0667,15.98,61,9,6.84,MX,1683336002
353,anyang,36.0994,114.3289,14.59,76,100,6.42,CN,1683336003
354,xiulin,29.7167,112.4,18.91,85,100,6.74,CN,1683336003
355,viedma,-40.8135,-62.9967,12.75,72,0,4.61,AR,1683336003
356,galveston,29.3669,-94.9669,27.88,89,75,6.17,US,1683336004
357,kegen,43.0197,79.2203,-0.8,37,0,2.21,KZ,1683336004
358,arangaon,18.6667,75.1833,27.56,52,47,3.67,IN,1683336005
359,encarnacion,-27.3333,-55.9,20.29,94,100,1.54,PY,1683336005
360,muroran,42.3172,140.9881,8.88,96,100,2.28,JP,1683336005
361,baneasa,44.0461,26.0642,14.3,70,80,2.57,RO,1683336006
362,arteche,12.2645,125.4048,28.97,73,62,2.39,PH,1683335743
363,kloulklubed,7.0419,134.2556,29.28,68,100,3.65,PW,1683336006
